1,23,1,1
2,11,2,2
3,30,3,3
4,15,4,4
5,20,5,5
6,32,6,6
7,24,7,7
8,7,8,8
9,29,9,9
10,24,10,10
11,2,11,11
12,30,12,12
13,2,13,13
14,27,14,14
15,19,15,15
16,7,16,16
17,37,17,17
18,24,18,18
19,11,19,19
20,2,20,20
21,10,21,21
22,13,22,22
23,20,23,23
24,22,24,24
25,30,25,25
26,28,26,26
27,28,27,27
28,21,28,28
29,6,29,29
30,22,30,30
31,13,31,31
32,20,32,32
33,12,33,33
34,6,34,34
35,15,35,35
36,6,36,36
37,33,37,37
38,39,38,38
39,32,39,39
40,4,40,40
41,14,41,41
42,32,42,42
43,27,43,43
44,17,44,44
45,36,45,45
46,23,46,46
47,30,47,47
48,19,48,48
49,2,49,49
50,21,50,50
51,31,51,51
52,34,52,52
53,7,53,53
54,23,54,54
55,9,55,55
56,15,56,56
57,20,57,57
58,23,58,58
59,5,59,59
60,30,60,60
61,24,61,61
62,10,62,62
63,0,63,63
64,25,64,64
65,25,65,65
66,3,66,66
67,14,67,67
68,16,68,68
69,20,69,69
70,8,70,70
71,1,71,71
72,1,72,72
73,23,73,73
74,26,74,74
75,31,75,75
76,12,76,76
77,36,77,77
78,10,78,78
79,5,79,79
80,5,80,80
81,21,81,81
82,14,82,82
83,38,83,83
84,12,84,84
85,11,85,85
86,31,86,86
87,12,87,87
88,4,88,88
89,23,89,89
90,34,90,90
91,33,91,91
92,28,92,92
93,39,93,93
94,15,94,94
95,33,95,95
96,34,96,96
97,34,97,97
98,22,98,98
99,0,99,99
100,39,100,100
