1,6000
2,3000
3,3400
4,6000
5,5000
6,8000
7,4500
8,3100
9,2750
10,2500
11,5000
12,10000
13,4000
14,3400
15,3100
16,4000
17,8000
18,3500
19,3000
20,8000
21,6000
22,4000
23,8000
24,3000
25,3300
26,3500
27,2750
28,3400
29,3500
30,2750
31,8000
32,2750
33,3000
34,2750
35,3000
36,3200
37,3000
38,2750
39,3200
40,3400
41,4000
42,2500
43,4000
44,3200
45,5000
46,3400
47,3400
48,3200
49,5000
50,2500
51,6000
52,3500
53,10000
54,2750
55,4000
56,2500
57,6000
58,3200
59,3200
60,10000
61,3200
62,3500
63,3300
64,8000
65,3500
66,4000
67,8000
68,3200
69,4000
70,6000
71,3100
72,3100
73,4000
74,5000
75,2500
76,3300
77,8000
78,3200
79,3300
80,3200
81,4500
82,3500
83,3300
84,8000
85,3200
86,6000
87,3100
88,2500
89,3300
90,3300
91,3500
92,6000
93,10000
94,3100
95,4500
96,4000
97,8000
98,6000
99,5000
100,3300
