1,2020-07-20,10,38
2,2020-01-28,87,31
3,2021-04-12,73,81
4,2021-02-17,70,72
5,2021-01-15,95,15
6,2021-10-31,73,10
7,2021-12-15,60,61
8,2020-05-06,94,80
9,2021-12-17,92,55
10,2020-05-11,1,27
11,2021-01-30,83,79
12,2021-03-05,63,4
13,2020-07-14,24,96
14,2020-09-13,83,70
15,2020-10-03,57,60
16,2020-08-09,77,86
17,2020-04-15,74,33
18,2020-11-08,84,99
19,2021-09-16,36,7
20,2020-03-22,50,51
21,2021-03-17,65,3
22,2020-04-07,58,59
23,2020-12-04,11,5
24,2021-01-03,44,64
25,2020-03-11,61,41
26,2021-01-22,77,81
27,2020-03-05,2,99
28,2021-08-29,83,88
29,2021-06-19,31,52
30,2020-06-15,52,10
31,2021-07-01,86,44
32,2021-05-25,31,32
33,2021-02-17,42,67
34,2020-10-21,9,12
35,2022-01-07,53,56
36,2021-04-06,52,81
37,2021-11-20,87,76
38,2020-05-17,78,12
39,2021-10-31,79,58
40,2020-12-01,10,19
41,2020-12-16,9,8
42,2021-02-18,66,51
43,2020-03-27,32,77
44,2021-03-01,71,93
45,2021-04-30,2,3
46,2021-09-20,34,57
47,2021-08-04,79,6
48,2021-10-10,41,81
49,2020-03-15,39,57
50,2020-10-16,67,3
51,2021-04-20,10,80
52,2021-08-31,69,45
53,2020-06-04,2,14
54,2021-10-19,39,35
55,2021-07-31,7,9
56,2020-04-18,54,84
57,2020-06-10,66,94
58,2020-09-14,58,23
59,2020-07-29,16,58
60,2021-01-26,69,57
61,2020-06-05,64,23
62,2021-04-06,77,38
63,2021-12-06,32,25
64,2020-12-24,91,65
65,2020-11-23,31,49
66,2020-03-30,30,99
67,2020-05-30,6,9
68,2020-09-16,19,5
69,2020-02-20,47,100
70,2021-10-10,56,54
71,2021-04-09,10,75
72,2021-12-31,89,86
73,2020-02-26,78,36
74,2021-09-05,58,51
75,2022-01-12,21,1
76,2020-07-30,92,84
77,2021-10-02,72,45
78,2020-02-23,96,24
79,2021-06-19,17,86
80,2021-03-30,73,94
81,2021-04-21,13,10
82,2021-12-05,45,27
83,2020-07-24,8,10
84,2020-09-08,18,39
85,2022-01-06,42,52
86,2020-03-21,19,59
87,2020-09-20,87,58
88,2020-06-28,73,29
89,2020-09-18,40,99
90,2021-06-02,70,11
91,2020-03-13,18,62
92,2021-04-05,19,55
93,2021-08-01,66,74
94,2021-08-12,48,63
95,2020-07-02,92,44
96,2020-08-01,29,16
97,2021-05-14,62,7
98,2020-12-10,29,36
99,2021-05-23,60,30
100,2020-11-23,89,13
101,2020-07-27,98,71
102,2020-06-11,6,44
103,2020-02-23,61,64
104,2020-11-22,40,52
105,2021-06-18,10,23
106,2021-09-03,80,98
107,2020-12-31,26,35
108,2021-08-19,78,14
109,2021-11-15,2,77
110,2021-10-07,22,33
111,2021-02-07,61,42
112,2021-03-17,43,25
113,2021-10-11,72,97
114,2021-10-30,69,72
115,2021-02-18,32,95
116,2021-09-27,58,57
117,2021-07-04,83,73
118,2020-03-19,97,74
119,2020-05-19,12,99
120,2021-08-20,3,26
121,2020-02-20,50,43
122,2021-10-30,6,63
123,2020-06-09,54,53
124,2020-07-24,43,14
125,2020-03-08,99,21
126,2020-08-11,70,26
127,2021-03-30,88,53
128,2020-07-05,23,81
129,2021-09-30,38,46
130,2022-01-02,95,56
131,2020-01-16,4,9
132,2021-02-24,37,21
133,2021-09-03,65,37
134,2020-09-20,60,32
135,2021-01-31,70,62
136,2021-05-17,77,32
137,2021-09-07,21,27
138,2021-01-26,64,74
139,2021-12-03,48,25
140,2021-01-17,26,17
141,2020-09-11,40,46
142,2020-07-08,94,57
143,2020-08-30,60,25
144,2020-07-01,88,49
145,2020-02-22,45,55
146,2021-05-05,71,27
147,2020-01-22,86,95
148,2021-09-28,25,29
149,2021-07-22,20,27
150,2020-07-23,76,74
151,2020-06-19,96,86
152,2021-05-05,96,41
153,2020-06-24,19,78
154,2021-05-31,13,34
155,2021-03-10,76,59
156,2021-05-06,89,10
157,2020-09-08,22,58
158,2021-03-05,36,65
159,2021-09-22,14,96
160,2021-05-30,4,45
161,2021-04-18,13,67
162,2021-08-21,31,98
163,2021-10-04,89,4
164,2021-06-23,50,13
165,2021-09-22,28,38
166,2021-08-27,64,36
