1,11,69,960
2,35,17,127
3,32,24,428
4,5,38,628
5,24,83,415
6,43,33,627
7,26,40,89
8,38,41,866
9,48,76,505
10,13,1,438
11,27,66,692
12,40,91,130
13,37,100,307
14,3,55,168
15,5,58,725
16,28,24,862
17,18,78,370
18,41,45,105
19,15,75,531
20,29,23,389
21,21,24,358
22,17,38,402
23,27,1,596
24,37,95,713
25,12,75,724
26,7,16,971
27,13,13,299
28,37,53,847
29,7,34,346
30,5,59,738
31,49,1,537
32,48,43,273
33,15,38,79
34,27,21,682
35,14,11,171
36,1,84,258
37,25,78,260
38,4,69,798
39,46,93,491
40,3,86,64
41,12,95,194
42,21,49,62
43,14,55,302
44,20,36,852
45,36,83,470
46,8,52,702
47,38,21,793
48,9,39,236
49,5,64,308
50,42,89,395
51,18,76,798
52,24,85,466
53,8,37,992
54,45,12,280
55,50,95,493
56,48,94,121
57,6,11,926
58,20,21,158
59,16,67,115
60,43,22,787
61,29,54,126
62,21,56,759
63,8,26,828
64,12,48,209
65,3,85,441
66,39,77,866
67,7,84,513
68,6,73,128
69,22,29,224
70,3,16,93
71,49,98,144
72,37,98,594
73,46,47,338
74,18,61,539
75,22,50,702
76,48,58,267
77,9,59,986
78,36,87,419
79,39,73,822
80,37,98,596
81,41,41,918
82,21,6,375
83,2,7,39
84,31,5,487
85,25,63,678
86,37,13,989
87,26,67,133
88,27,19,887
89,11,13,287
90,27,95,345
91,17,55,636
92,50,49,708
93,49,86,377
94,5,95,494
95,37,8,743
96,14,17,770
97,47,36,873
98,2,88,507
99,18,43,277
100,29,19,53
